Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-06-13,26.9182,27.3179,26.5419,27.2102,2292322.3290916
2017-06-14,27.2722,27.4869,26.5877,26.619,2718639.5547071
2017-06-16,26.7179,27.2255,26.6722,26.972,4498933.8532628
2017-06-19,27.1258,27.5408,27.1096,27.5327,1079180.2873157
2017-06-20,27.5246,27.5246,26.4107,26.5491,3232985.202424
2017-06-21,26.5258,26.726,26.2877,26.5419,2732226.9584377
2017-06-22,26.5491,26.7342,26.2797,26.4188,1351354.8333293
2017-06-23,26.3955,26.5957,25.9579,26.1269,1825016.6013363
2017-06-26,26.1269,27.1096,26.1108,26.7879,2413805.7541373
2017-06-27,26.7108,27.2327,26.6649,26.7027,1942104.7598934
2017-06-28,26.7027,26.7952,26.2498,26.611,2393092.6722606
2017-06-29,26.7421,26.9335,26.4566,26.7718,2013780.5526146
2017-06-30,26.5258,26.8715,26.3271,26.4799,1782625.5926621
2017-07-03,26.4799,27.2561,26.4027,27.2561,1198454.2672271
2017-07-04,26.9335,26.9641,26.5113,26.5113,1853362.6509565
2017-07-05,26.4727,26.7646,26.4421,26.5258,1768702.4825803
2017-07-06,26.5113,26.972,26.4566,26.903,1804315.9530282
2017-07-07,26.8257,26.9254,26.7027,26.7179,1058316.7592594
2017-07-10,26.8949,26.9641,26.4566,26.6263,1088312.7434285
2017-07-11,26.5491,26.8491,26.4647,26.6649,1632961.4844581
2017-07-12,26.6569,27.1949,26.6569,26.972,1963478.064261
2017-07-13,26.9111,27.026,26.6416,26.7421,2213093.1434656
2017-07-14,26.7421,26.8572,26.4494,26.78,1445595.0662867
2017-07-17,26.8033,27.4177,26.8033,27.4177,3279778.9377278
2017-07-18,27.2946,27.5866,27.0719,27.3559,2360350.112795
2017-07-19,27.3638,27.8166,27.3179,27.671,4604990.949787
2017-07-20,27.671,27.9856,27.4636,27.5479,2927013.7303301
2017-07-21,27.4636,27.7707,27.1636,27.5102,3098123.2575995
